Problem,Method,Best_f,Feasible,Total_CV,Feas_Rate_pct,Rel_Gap_wrt_other,Time_ms,Best_K,Best_rho,Best_lr,Best_x
Branin,BO+CDU,0.397887,True,0.000000,75.3,0.966883,35069,3,100.0,0.0001,3.14161;2.27503
Branin,IPOPT_fixed,12.014483,False,0.000000,N/A,29.195688,40,N/A,N/A,N/A,2.35619;-0.00000
Himmelblau,BO+CDU,65.040999,True,0.000000,74.8,0.000631,41291,5,100.0,0.01,-1.38090;2.09222
Himmelblau,IPOPT_fixed,65.000000,False,0.000000,N/A,0.000630,70,N/A,N/A,N/A,1.68978;1.14465
Rosenbrock,BO+CDU,0.145623,True,0.000000,74.1,0.000110,36843,5,100.0,0.05,0.61878;0.38117
Rosenbrock,IPOPT_fixed,0.145607,False,0.000000,N/A,0.000110,14,N/A,N/A,N/A,0.61880;0.38120
PressureVessel,BO+CDU,37.613825,True,0.000000,22.7,0.001835,66638,3,100.0,0.05,0.19315;0.09565;10.00024;10.00047
PressureVessel,IPOPT_fixed,37.544932,False,0.000000,N/A,0.001832,58,N/A,N/A,N/A,0.19300;0.09540;10.00000;10.00000
GearTrain,BO+CDU,-30583.890104,True,0.000000,64.5,0.002663,58635,8,1000.0,0.001,78.00000;33.00000;30.24488;45.00000;36.79253
GearTrain,IPOPT_fixed,-30665.546859,False,0.000000,N/A,0.002670,77,N/A,N/A,N/A,78.00000;33.00000;29.99526;45.00000;36.77581
G06,BO+CDU,-6944.093503,True,0.000000,18.1,0.002545,37481,8,100.0,0.01,14.10228;0.85874
G06,IPOPT_fixed,-6961.813899,False,0.000000,N/A,0.002552,50,N/A,N/A,N/A,14.09500;0.84296
WeldedBeam,BO+CDU,1.794090,True,0.000000,74.5,0.100254,52669,3,100.0,0.005,0.14965;4.07002;9.44306;0.20628
WeldedBeam,IPOPT_fixed,1.630614,False,0.000000,N/A,0.091119,25,N/A,N/A,N/A,0.20573;2.77857;9.03662;0.20573
