Problem,Method,Constraint_Index,Constraint_Label,g_i_value,Violation_max_gi_0,Constraint_Feasible,Total_CV,Solution_Feasible
Branin,BO+CDU,1,0.5-sin²(x₁+x₂),-0.0807930868,0.000000e+00,yes,0.000000e+00,yes
Branin,IPOPT_fixed,1,0.5-sin²(x₁+x₂),9.999280015e-09,9.999280e-09,VIOLATED,9.999280e-09,VIOLATED
Himmelblau,BO+CDU,1,x1²+x2-4,-0.0009102002703,0.000000e+00,yes,0.000000e+00,yes
Himmelblau,BO+CDU,2,x1+x2²-3,-0.003530314147,0.000000e+00,yes,0.000000e+00,yes
Himmelblau,IPOPT_fixed,1,x1²+x2-4,9.999350681e-09,9.999351e-09,VIOLATED,1.999821e-08,VIOLATED
Himmelblau,IPOPT_fixed,2,x1+x2²-3,9.998863071e-09,9.998863e-09,VIOLATED,1.999821e-08,VIOLATED
Rosenbrock,BO+CDU,1,x1²+x2²-2,-1.47181768,0.000000e+00,yes,0.000000e+00,yes
Rosenbrock,BO+CDU,2,x1+x2-1,-4.698493497e-05,0.000000e+00,yes,0.000000e+00,yes
Rosenbrock,IPOPT_fixed,1,x1²+x2²-2,-1.471775192,0.000000e+00,yes,9.973319e-09,VIOLATED
Rosenbrock,IPOPT_fixed,2,x1+x2-1,9.973319059e-09,9.973319e-09,VIOLATED,9.973319e-09,VIOLATED
PressureVessel,BO+CDU,1,-x1+0.0193x3,-0.0001486208363,0.000000e+00,yes,0.000000e+00,yes
PressureVessel,BO+CDU,2,-x2+0.00954x3,-0.0002440202448,0.000000e+00,yes,0.000000e+00,yes
PressureVessel,BO+CDU,3,πx3²x4+(4/3)πx3³-1296000,-1288669.01,0.000000e+00,yes,0.000000e+00,yes
PressureVessel,IPOPT_fixed,1,-x1+0.0193x3,9.999939848e-09,9.999940e-09,VIOLATED,1.999989e-08,VIOLATED
PressureVessel,IPOPT_fixed,2,-x2+0.00954x3,9.999948883e-09,9.999949e-09,VIOLATED,1.999989e-08,VIOLATED
PressureVessel,IPOPT_fixed,3,πx3²x4+(4/3)πx3³-1296000,-1288669.617,0.000000e+00,yes,1.999989e-08,VIOLATED
GearTrain,BO+CDU,1,C1-92,-0.01822337239,0.000000e+00,yes,0.000000e+00,yes
GearTrain,BO+CDU,2,85-C1,-6.981776628,0.000000e+00,yes,0.000000e+00,yes
GearTrain,BO+CDU,3,C2-110,-12.66501608,0.000000e+00,yes,0.000000e+00,yes
GearTrain,BO+CDU,4,90-C2,-7.334983922,0.000000e+00,yes,0.000000e+00,yes
GearTrain,BO+CDU,5,C3-25,-4.908585057,0.000000e+00,yes,0.000000e+00,yes
GearTrain,BO+CDU,6,20-C3,-0.09141494307,0.000000e+00,yes,0.000000e+00,yes
GearTrain,IPOPT_fixed,1,C1-92,9.999979511e-09,9.999980e-09,VIOLATED,1.999997e-08,VIOLATED
GearTrain,IPOPT_fixed,2,85-C1,-7.00000001,0.000000e+00,yes,1.999997e-08,VIOLATED
GearTrain,IPOPT_fixed,3,C2-110,-12.75656461,0.000000e+00,yes,1.999997e-08,VIOLATED
GearTrain,IPOPT_fixed,4,90-C2,-7.243435387,0.000000e+00,yes,1.999997e-08,VIOLATED
GearTrain,IPOPT_fixed,5,C3-25,-5.00000001,0.000000e+00,yes,1.999997e-08,VIOLATED
GearTrain,IPOPT_fixed,6,20-C3,9.999990169e-09,9.999990e-09,VIOLATED,1.999997e-08,VIOLATED
G06,BO+CDU,1,-(x1-5)²-(x2-5)²+100,-0.001618660996,0.000000e+00,yes,0.000000e+00,yes
G06,BO+CDU,2,(x1-6)²+(x2-5)²-82.81,-0.01294642852,0.000000e+00,yes,0.000000e+00,yes
G06,IPOPT_fixed,1,-(x1-5)²-(x2-5)²+100,9.999908457e-09,9.999908e-09,VIOLATED,1.999982e-08,VIOLATED
G06,IPOPT_fixed,2,(x1-6)²+(x2-5)²-82.81,9.999908457e-09,9.999908e-09,VIOLATED,1.999982e-08,VIOLATED
WeldedBeam,BO+CDU,1,τ-13600,-1068.054383,0.000000e+00,yes,0.000000e+00,yes
WeldedBeam,BO+CDU,2,σ-30000,-2599.785512,0.000000e+00,yes,0.000000e+00,yes
WeldedBeam,BO+CDU,3,δ-0.25,-0.2373618162,0.000000e+00,yes,0.000000e+00,yes
WeldedBeam,BO+CDU,4,P-Pc,-222.6710952,0.000000e+00,yes,0.000000e+00,yes
WeldedBeam,BO+CDU,5,h-b,-0.056624131,0.000000e+00,yes,0.000000e+00,yes
WeldedBeam,IPOPT_fixed,1,τ-13600,-3.111035767e-07,0.000000e+00,yes,9.985762e-09,VIOLATED
WeldedBeam,IPOPT_fixed,2,σ-30000,-5.123474693e-07,0.000000e+00,yes,9.985762e-09,VIOLATED
WeldedBeam,IPOPT_fixed,3,δ-0.25,-0.2355403226,0.000000e+00,yes,9.985762e-09,VIOLATED
WeldedBeam,IPOPT_fixed,4,P-Pc,-1.831440386e-07,0.000000e+00,yes,9.985762e-09,VIOLATED
WeldedBeam,IPOPT_fixed,5,h-b,9.985762245e-09,9.985762e-09,VIOLATED,9.985762e-09,VIOLATED
