Problem,Seed,Best_f,Is_Feasible,Feas_Rate_pct,Total_CV,Time_ms,x1,x2,x3,x4,x5
Branin,0,0.397890,1,78.1,0.000000e+00,47261,3.141228,2.273965,N/A,N/A,N/A
Branin,1,0.397887,1,78.2,0.000000e+00,43817,3.141593,2.274954,N/A,N/A,N/A
Branin,2,0.397891,1,72.8,0.000000e+00,38200,3.142344,2.273694,N/A,N/A,N/A
Branin,3,0.397888,1,77.1,0.000000e+00,40275,3.141855,2.274429,N/A,N/A,N/A
Branin,4,0.397888,1,72.3,0.000000e+00,42024,3.141535,2.275943,N/A,N/A,N/A
Branin,5,0.397887,1,73.2,0.000000e+00,37537,3.141559,2.274866,N/A,N/A,N/A
Branin,6,0.397889,1,74.0,0.000000e+00,37964,3.141072,2.274680,N/A,N/A,N/A
Branin,7,0.397887,1,75.6,0.000000e+00,36474,3.141629,2.274695,N/A,N/A,N/A
Branin,8,0.397887,1,78.8,0.000000e+00,38846,3.141613,2.275069,N/A,N/A,N/A
Branin,9,0.397887,1,74.2,0.000000e+00,39122,3.141556,2.275044,N/A,N/A,N/A
Branin,10,0.397887,1,71.6,0.000000e+00,35425,3.141532,2.274886,N/A,N/A,N/A
Branin,11,0.397887,1,73.9,0.000000e+00,38296,3.141534,2.275100,N/A,N/A,N/A
Branin,12,0.397887,1,73.0,0.000000e+00,39586,3.141522,2.275090,N/A,N/A,N/A
Branin,13,0.397887,1,78.7,0.000000e+00,35706,3.141520,2.275022,N/A,N/A,N/A
Branin,14,0.397887,1,77.6,0.000000e+00,34681,3.141593,2.274877,N/A,N/A,N/A
Branin,15,0.397889,1,72.0,0.000000e+00,33983,3.140931,2.275502,N/A,N/A,N/A
Branin,16,0.397887,1,76.9,0.000000e+00,34484,3.141523,2.275243,N/A,N/A,N/A
Branin,17,0.397888,1,70.4,0.000000e+00,35341,3.141690,2.274601,N/A,N/A,N/A
Branin,18,0.397888,1,81.6,0.000000e+00,37414,3.141379,2.275332,N/A,N/A,N/A
Branin,19,0.397889,1,76.9,0.000000e+00,36369,3.141183,2.274724,N/A,N/A,N/A
Branin,20,0.397888,1,79.5,0.000000e+00,36459,3.141768,2.274881,N/A,N/A,N/A
Branin,21,0.397887,1,71.0,0.000000e+00,34928,3.141557,2.275298,N/A,N/A,N/A
Branin,22,0.397887,1,74.2,0.000000e+00,34457,3.141583,2.275019,N/A,N/A,N/A
Branin,23,0.397888,1,73.6,0.000000e+00,34126,3.141563,2.275405,N/A,N/A,N/A
Branin,24,0.397888,1,73.7,0.000000e+00,32826,3.141543,2.274587,N/A,N/A,N/A
Branin,25,0.397887,1,72.0,0.000000e+00,33445,3.141453,2.274989,N/A,N/A,N/A
Branin,26,0.397887,1,75.7,0.000000e+00,35263,3.141579,2.275016,N/A,N/A,N/A
Branin,27,0.397888,1,79.6,0.000000e+00,34257,3.141843,2.274402,N/A,N/A,N/A
Branin,28,0.397889,1,77.3,0.000000e+00,34654,3.141988,2.275680,N/A,N/A,N/A
Branin,29,0.397888,1,79.7,0.000000e+00,35613,3.141488,2.275594,N/A,N/A,N/A
Himmelblau,0,65.009635,1,75.1,0.000000e+00,34927,-1.380738,2.092978,N/A,N/A,N/A
Himmelblau,1,65.011408,1,63.4,0.000000e+00,33687,1.689662,1.144495,N/A,N/A,N/A
Himmelblau,2,65.004042,1,72.7,0.000000e+00,34113,1.689822,1.144449,N/A,N/A,N/A
Himmelblau,3,65.009562,1,63.0,0.000000e+00,33042,2.210811,-0.888032,N/A,N/A,N/A
Himmelblau,4,65.003062,1,65.9,0.000000e+00,31445,-1.380893,2.093016,N/A,N/A,N/A
Himmelblau,5,65.016391,1,74.6,0.000000e+00,33400,1.689875,1.143977,N/A,N/A,N/A
Himmelblau,6,65.002946,1,75.7,0.000000e+00,33375,-2.519788,-2.349353,N/A,N/A,N/A
Himmelblau,7,65.012511,1,65.7,0.000000e+00,31781,1.689606,1.144556,N/A,N/A,N/A
Himmelblau,8,65.003926,1,70.1,0.000000e+00,31383,-1.380894,2.092998,N/A,N/A,N/A
Himmelblau,9,65.019043,1,66.0,0.000000e+00,34732,2.210676,-0.887776,N/A,N/A,N/A
Himmelblau,10,65.021182,1,70.7,0.000000e+00,40311,-2.519597,-2.349086,N/A,N/A,N/A
Himmelblau,11,65.017171,1,73.4,0.000000e+00,37304,-1.380723,2.092829,N/A,N/A,N/A
Himmelblau,12,65.006309,1,60.9,0.000000e+00,39261,1.689870,1.144296,N/A,N/A,N/A
Himmelblau,13,65.002183,1,69.8,0.000000e+00,36658,-1.380906,2.093026,N/A,N/A,N/A
Himmelblau,14,65.021046,1,75.5,0.000000e+00,35790,1.689397,1.144650,N/A,N/A,N/A
Himmelblau,15,65.008934,1,71.9,0.000000e+00,38724,1.689704,1.144500,N/A,N/A,N/A
Himmelblau,16,65.006901,1,69.6,0.000000e+00,38635,1.689691,1.144586,N/A,N/A,N/A
Himmelblau,17,65.014385,1,62.7,0.000000e+00,37466,2.210742,-0.888001,N/A,N/A,N/A
