Problem,Variable,Mean_x_all_runs,Std_x_all_runs,Mean_x_feasible,Std_x_feasible,Mean_f_feasible,Std_f_feasible,Var_f_feasible,Feas_Rate_pct
Branin,x1,3.141558,0.000257,3.141558,0.000257,0.397888,0.000001,0.000000,100.0
Branin,x2,2.274953,0.000464,2.274953,0.000464,0.397888,0.000001,0.000000,100.0
Himmelblau,x1,0.541887,1.757269,0.541887,1.757269,65.011208,0.006582,0.000043,100.0
Himmelblau,x2,0.617970,1.440666,0.617970,1.440666,65.011208,0.006582,0.000043,100.0
Rosenbrock,x1,0.618776,0.000094,0.618776,0.000094,0.145619,0.000008,0.000000,100.0
Rosenbrock,x2,0.381201,0.000090,0.381201,0.000090,0.145619,0.000008,0.000000,100.0
PressureVessel,x1,0.194517,0.002098,0.194517,0.002098,38.064568,0.612626,0.375310,100.0
PressureVessel,x2,0.096873,0.002456,0.096873,0.002456,38.064568,0.612626,0.375310,100.0
PressureVessel,x3,10.000843,0.001597,10.000843,0.001597,38.064568,0.612626,0.375310,100.0
PressureVessel,x4,10.016883,0.040421,10.016883,0.040421,38.064568,0.612626,0.375310,100.0
GearTrain,x1,78.478691,0.473796,78.478691,0.473796,-30580.110576,53.343440,2845.522640,100.0
GearTrain,x2,33.187979,0.177229,33.187979,0.177229,-30580.110576,53.343440,2845.522640,100.0
GearTrain,x3,30.193017,0.143057,30.193017,0.143057,-30580.110576,53.343440,2845.522640,100.0
GearTrain,x4,44.199661,0.815899,44.199661,0.815899,-30580.110576,53.343440,2845.522640,100.0
GearTrain,x5,36.608253,0.309289,36.608253,0.309289,-30580.110576,53.343440,2845.522640,100.0
G06,x1,14.107361,0.011531,14.107361,0.011531,-6933.207108,26.619350,708.589814,100.0
G06,x2,0.868439,0.023753,0.868439,0.023753,-6933.207108,26.619350,708.589814,100.0
WeldedBeam,h,0.166957,0.031468,0.166957,0.031468,1.819235,0.070499,0.004970,100.0
WeldedBeam,l,3.813726,0.869868,3.813726,0.869868,1.819235,0.070499,0.004970,100.0
WeldedBeam,t,9.338550,0.441849,9.338550,0.441849,1.819235,0.070499,0.004970,100.0
WeldedBeam,b,0.213726,0.010109,0.213726,0.010109,1.819235,0.070499,0.004970,100.0
