Step,Branin,Himmelblau,Rosenbrock,PressureVessel,GearTrain,G06,WeldedBeam
1,2.620247,1585.997007,694.135357,7042849.973516,-31044.130102,281.340930,14.108263
2,2.453621,1582.056827,367.609836,572134.679436,-31044.130102,36480.081995,13.622942
3,2.335015,1433.499194,254.487321,47565570.882134,-31044.130102,15646.093873,13.188343
4,2.243778,1089.616893,191.332864,13500333.764451,-31044.130102,5230.633328,12.797821
5,2.153978,1028.599697,136.905567,8641160.887503,-31044.130102,1882.848534,12.434198
6,2.054410,771.690352,89.230727,5111464.013552,-31044.130102,1060.827908,12.101167
7,1.950796,381.269254,71.936204,3048392.007123,-31044.130102,702.076404,11.834666
8,1.850018,197.396439,52.573641,1927867.998164,-31044.130103,240.656406,11.589859
9,1.755540,177.579354,35.699998,1269018.453393,-31044.130105,-356.702774,11.358464
10,1.666023,171.956900,20.816328,801684.083343,-31044.130111,-1022.712427,11.138277
11,1.575413,136.674734,10.648728,487845.546338,-31044.130106,-1692.354189,10.927693
12,1.483628,112.345181,4.748269,286201.820182,-31044.130076,-2323.520163,10.727990
13,1.390609,98.586176,1.886884,162960.817497,-31044.129962,-2894.680018,10.514528
14,1.297523,117.802875,1.009831,89842.212305,-31044.129481,-3399.581808,10.316818
15,1.204838,122.794420,1.008563,45300.884592,-31044.127620,-3818.841303,10.118771
16,1.143097,119.837016,1.257525,20892.818682,-31044.126066,-4171.164473,9.919165
17,1.091892,120.441727,1.115629,8634.274090,-31044.124227,-4476.159174,9.739969
18,1.043627,115.586350,0.861381,3152.267471,-31044.121858,-4741.083041,9.565943
19,0.945149,113.931848,0.830798,1025.438927,-31044.116411,-4970.852987,9.397532
20,0.857722,111.467652,0.658123,310.520296,-31044.101488,-5169.712816,9.238060
21,0.806686,106.071230,0.349155,99.438810,-31044.089383,-5343.241654,9.072620
22,0.770406,100.317106,0.388680,44.407754,-31044.496493,-5495.018135,8.890247
23,0.732205,94.867920,0.515099,31.654856,-31051.179722,-5628.104672,8.679041
24,0.686917,89.867233,0.279927,35.066376,-31102.392419,-5745.110401,8.385424
25,0.630783,85.090116,0.209505,41.033719,-31250.265204,-5848.253788,8.066627
26,0.575843,81.387837,0.191270,50.141467,-31493.696700,-5939.420221,7.722821
27,0.545129,79.179079,0.233526,62.957010,-31491.706079,-6020.213320,7.354631
28,0.534815,79.057147,0.248883,80.266339,-31396.254536,-6091.999187,7.008184
29,0.528106,79.355367,0.211747,102.422636,-31320.191890,-6155.944004,6.632538
30,0.510947,78.915409,0.164162,129.156654,-31298.283532,-6213.045782,6.226604
31,0.482365,77.796275,0.181868,158.345837,-31320.601496,-6264.160991,5.806193
32,0.457427,76.761464,0.219651,189.731498,-31380.217649,-6309.793244,5.367889
33,0.448912,75.758769,0.153800,219.124228,-31411.442595,-6349.979619,4.924149
34,0.450490,74.807410,0.171272,246.499971,-31376.601587,-6385.881499,4.474445
35,0.447749,73.680671,0.198279,269.742782,-31336.464555,-6418.882881,4.027973
